time,queue
0,0
5,0
6,69
8,0
9,35
11,0
12,28
14,0
15,35
17,0
18,27
20,0
21,34
23,0
24,31
26,0
27,21
29,0
30,31
32,0
33,44
35,0
36,38
38,0
39,31
41,0
42,32
44,0
45,39
47,0
48,33
50,0
51,37
53,0
54,27
56,0
57,31
59,0
60,35
62,0
63,40
65,0
66,44
68,0
69,42
71,0
72,34
74,0
75,34
77,0
78,34
80,0
81,29
83,0
84,39
86,0
87,26
89,0
90,35
92,0
93,37
95,0
96,32
98,0
99,37
101,0
102,31
104,0
105,31
107,0
108,25
110,0
111,27
113,0
114,28
116,0
117,29
119,0
120,33
122,0
123,21
125,0
126,43
128,0
129,25
131,0
132,38
134,0
135,31
137,0
138,28
140,0
141,32
143,0
144,46
146,0
147,33
149,0
150,31
152,0
153,32
155,0
156,35
158,0
159,37
161,0
162,29
164,0
165,39
167,0
168,26
170,0
171,31
173,0
174,33
176,0
177,29
179,0
180,29
182,0
183,29
185,0
186,34
188,0
189,36
191,0
192,38
194,0
195,39
197,0
198,29
200,0
201,48
203,0
204,39
206,0
207,34
209,0
210,27
212,0
213,34
215,0
216,23
218,0
219,34
221,0
222,29
224,0
225,37
227,0
228,28
230,0
231,27
233,0
234,28
236,0
237,33
239,0
240,27
242,0
243,35
245,0
246,24
248,0
249,24
251,0
252,25
254,0
255,31
257,0
258,34
260,0
261,42
263,0
264,30
266,0
267,38
269,0
270,19
272,0
273,28
275,0
276,25
278,0
279,33
281,0
282,26
284,0
285,39
287,0
288,33
290,0
291,41
293,0
294,28
296,0
297,44
299,0
300,33
302,0
303,22
305,0
306,36
308,0
309,33
311,0
312,42
314,0
315,40
317,0
318,34
320,0
321,30
323,0
324,43
326,0
327,36
329,0
330,33
332,0
333,34
335,0
336,28
338,0
339,32
341,0
342,26
344,0
345,28
347,0
348,36
350,0
351,32
353,0
354,34
356,0
357,33
359,0
360,33
362,0
363,33
365,0
366,42
368,0
369,41
371,0
372,41
374,0
375,37
377,0
378,34
380,0
381,40
383,0
384,31
386,0
387,34
389,0
390,40
392,0
393,41
395,0
396,30
398,0
399,32
401,0
402,28
404,0
405,34
407,0
408,24
410,0
411,25
413,0
414,28
416,0
417,30
419,0
420,42
422,0
423,33
425,0
426,33
428,0
429,28
431,0
432,29
434,0
435,27
437,0
438,37
440,0
441,43
443,0
444,34
446,0
447,30
449,0
450,34
452,0
453,39
455,0
456,33
458,0
459,36
461,0
462,28
464,0
465,41
467,0
468,34
470,0
471,35
473,0
474,27
476,0
477,36
479,0
480,26
482,0
483,41
485,0
486,29
488,0
489,23
491,0
492,41
494,0
495,33
497,0
498,26
500,0
501,30
503,0
504,32
506,0
507,40
509,0
510,30
512,0
513,35
515,0
516,46
518,0
519,38
521,0
522,31
524,0
525,34
527,0
528,33
530,0
531,36
533,0
534,35
536,0
537,32
539,0
540,31
542,0
543,32
545,0
546,34
548,0
549,39
551,0
552,39
554,0
555,35
557,0
558,35
560,0
561,28
563,0
564,36
566,0
