time,queue
0,0
5,0
6,502
8,150
9,150
11,45
12,301
14,273
15,217
17,268
18,437
20,318
21,434
23,372
24,498
26,200
27,527
29,254
30,350
32,295
33,409
35,288
36,483
38,369
39,460
41,289
42,514
44,309
45,468
47,296
48,472
50,393
51,461
53,389
54,560
56,389
57,558
59,283
60,559
62,119
63,445
65,321
66,305
68,61
69,461
71,101
72,237
74,4
75,245
77,0
78,166
80,0
81,180
83,62
84,150
86,12
87,212
89,0
90,187
92,17
93,206
95,198
96,179
98,155
99,371
101,266
102,323
104,219
105,414
107,273
108,386
110,193
111,420
113,115
114,373
116,53
117,299
119,0
120,221
122,0
123,178
125,230
126,154
128,287
129,412
131,251
132,453
134,156
135,415
137,121
138,318
140,156
141,310
143,97
144,322
146,171
147,250
149,172
150,331
152,118
153,338
155,0
156,270
158,67
159,172
161,57
162,241
164,129
165,226
167,214
168,272
170,128
171,390
173,206
174,298
176,227
177,353
179,228
180,395
182,75
183,378
185,136
186,251
188,77
189,301
191,151
192,228
194,70
195,309
197,144
198,247
200,0
201,301
203,0
204,163
206,65
207,175
209,0
210,239
212,21
213,165
215,0
216,201
218,0
219,139
221,0
222,175
224,0
225,164
227,0
228,177
230,0
231,179
233,0
234,163
236,16
237,188
239,85
240,188
242,78
243,232
245,122
246,246
248,0
249,289
251,0
252,173
254,0
255,169
257,0
258,157
260,0
261,187
263,0
264,166
266,19
267,181
269,0
270,194
272,0
273,142
275,0
276,167
278,211
279,162
281,254
282,400
284,115
285,413
287,0
288,277
290,226
291,166
293,84
294,398
296,0
297,231
299,0
