time,queue
0,0
2.0636,0
4.00714,217
5.18817,0
5.41595,321
6.29888,0
9.17702,39
10.0168,39
11.8995,487
12.7257,0
13.6261,334
14.7785,0
18.6352,163
19.6295,0
20.4969,646
21.5337,179
22.2462,137
23.047,64
24.9749,302
25.7834,29
29.5402,377
30.6508,0
32.1853,621
33.2967,0
35.6357,205
36.4885,142
36.849,376
37.6747,0
38.9818,201
39.8686,0
43.8676,206
44.905,69
47.8549,667
48.6628,59
49.5388,580
50.6835,0
53.9216,230
54.9872,31
56.8743,510
58.014,0
60.1302,322
60.9649,81
63.6125,345
64.593,98
64.693,530
65.8103,0
67.5221,115
68.3602,442
68.8997,276
69.9332,285
70.5212,533
71.4646,182
71.8764,376
72.8837,9
73.0752,253
73.8788,0
75.5041,36
76.6037,0
77.6011,287
78.6311,0
79.3584,164
80.5307,0
84.1272,140
85.0808,0
85.4679,626
86.4341,39
90.6166,75
91.7262,87
94.2381,756
95.3968,535
96.4844,489
97.6576,411
101.001,699
102.192,533
103.508,978
104.39,541
105.365,754
106.489,273
107.885,694
109.029,326
112.885,499
113.794,466
114.296,981
115.211,265
115.855,553
116.97,0
117.044,359
117.862,0
120.01,7
121.043,321
121.835,338
122.911,62
125.279,447
126.365,0
127.796,417
128.921,0
131.21,229
132.152,6
135.048,370
136.023,104
136.776,485
137.87,0
138.165,219
139.077,0
139.48,49
140.654,0
141.943,56
143.058,0
144.546,210
145.659,1
146.521,231
147.585,0
150.44,156
151.363,59
155.018,500
155.887,167
158.871,636
159.811,59
160.451,632
161.299,0
162.663,167
163.751,0
168.188,218
169.067,0
170.984,709
171.821,0
176.373,313
177.507,168
177.591,740
178.608,0
186.292,175
187.131,166
189.539,1336
190.721,312
191.774,553
192.94,418
193.239,480
194.426,177
194.477,467
195.655,0
197.534,183
198.667,0
199.317,336
200.502,0
204.539,127
205.715,0
207.127,678
208.088,0
208.393,214
209.223,0
213.59,47
214.743,0
216.537,705
217.499,0
221.167,298
222.168,0
222.168,608
223.068,0
223.346,0
224.386,0
227.275,52
228.154,0
233.441,479
234.275,0
235.6,851
236.418,113
239.705,194
240.805,382
241.24,652
242.234,135
244.368,465
245.478,322
246.02,504
247.215,8
248.214,426
249.085,0
250.948,161
251.835,90
252.216,324
253.317,0
255.354,152
256.413,122
259.074,338
260.049,194
267.948,613
269.104,550
275.248,1457
276.342,631
276.708,1581
277.725,376
279.293,693
280.093,436
281.022,639
281.832,256
283.574,591
284.616,230
285.275,549
286.277,0
