time,queue
0,0
2.7355,0
4.11318,241
5.03282,0
7.29499,207
8.30683,0
9.07671,319
9.934,0
10.8257,119
11.7465,0
12.884,169
13.9598,0
14.119,179
15.1646,0
17.9551,26
19.1327,227
23.4384,424
24.5306,262
25.0126,879
25.899,0
28.4821,326
29.6466,90
30.116,393
30.9324,0
32.1902,171
33.2479,0
36.7754,210
37.5991,40
40.5164,561
41.4381,225
43.3756,455
44.4425,231
46.8283,495
47.8075,154
51.1336,596
52.2776,19
53.3514,641
54.4171,0
55.6663,203
56.6072,0
58.881,172
59.7156,0
62.1576,330
63.0843,0
63.6961,400
64.7487,0
69.7848,97
70.9289,187
71.5851,742
72.5176,0
72.9514,281
74.0261,0
74.5515,78
75.4536,0
77.1663,94
78.1447,0
79.0362,243
80.0201,0
80.5156,130
81.3289,0
82.8388,56
83.9028,0
84.5936,222
85.6495,0
91.6827,102
92.8594,0
96.2955,876
97.1246,39
99.5364,537
100.73,0
101.36,370
102.404,0
103.433,84
104.265,0
106.524,126
107.367,0
108.989,331
110,0
110,236
111.093,0
112.546,0
113.378,0
117.063,231
118.058,0
119.663,584
120.7,0
121.477,221
122.653,0
126.596,110
127.759,0
128.054,610
129.229,0
130.061,39
131.17,0
132.515,127
133.613,0
134.721,207
135.813,0
137.503,163
138.505,0
139.724,242
140.53,43
141.91,202
143.013,0
144.413,227
145.425,304
146.608,204
147.501,183
147.753,494
148.744,0
151.36,220
152.45,141
154.383,404
155.327,240
160.197,428
161.043,243
161.879,981
162.87,353
166.09,371
167.183,660
170.465,855
171.642,576
173.084,1106
174.216,414
174.216,778
175.414,0
175.664,414
176.465,0
181.883,41
182.784,140
185.843,839
187.011,182
188.213,617
189.358,153
190.842,369
191.721,245
195.055,376
195.945,320
198.895,721
200.034,166
200.382,757
201.209,0
203.03,220
204.049,6
205.27,292
206.178,117
207.727,199
208.748,0
211.769,342
212.819,0
212.819,432
213.626,0
215.223,0
216.257,0
216.698,251
217.563,0
219.231,64
220.32,0
220.399,247
221.427,0
221.941,6
222.879,0
226.823,78
227.813,182
231.198,598
232.378,0
233.081,699
233.996,0
236.877,91
237.923,0
240.541,443
241.614,0
243.452,419
244.608,114
247.792,288
248.775,125
252.19,608
253.177,171
256.211,655
257.125,172
258.614,646
259.761,224
260.828,372
261.801,0
263.977,395
264.953,15
266.644,327
267.705,0
268.519,268
269.542,0
271.981,140
272.863,0
275.778,314
276.871,400
276.871,445
277.71,53
282.113,400
283.011,31
286.536,676
287.635,230
288.832,564
289.897,198
290.558,420
291.525,0
291.687,318
292.725,0
294.706,20
295.835,0
297.909,292
298.803,0
302.143,334
303.156,40
306.076,479
306.917,123
308.978,515
309.836,72
311.288,429
312.41,0
315.424,284
316.487,14
318.172,466
319.012,0
319.498,266
320.642,0
321.17,72
322.291,0
322.844,65
323.967,0
328.675,75
329.61,0
329.719,708
330.552,0
331.055,13
332.044,0
332.329,82
333.202,0
333.9,32
335.076,0
337.998,115
339.012,0
341.568,477
342.677,253
344.445,355
345.439,51
346.496,517
347.663,311
349.26,222
350.12,185
352.142,592
353.181,0
354.596,488
355.736,0
357.018,211
357.899,203
360.287,218
361.153,192
361.837,572
362.938,0
363.916,290
364.779,0
365.851,149
366.764,0
367.816,151
369.01,0
371.032,150
372.046,107
376.743,324
377.596,103
379.14,785
380.091,238
383.529,321
384.452,173
388.472,772
389.642,403
391.323,793
392.221,753
393.253,656
394.203,540
395.101,910
396.041,557
397.152,671
398.249,378
398.693,730
399.742,121
400.449,441
401.488,0
402.817,203
403.686,184
404.006,184
404.825,0
406.838,225
407.905,0
408.613,272
409.693,0
411.077,114
411.889,0
413.872,215
414.884,0
414.884,322
415.967,0
418.047,0
419.164,133
421.905,315
422.822,348
426.873,526
428,131
428.902,900
429.947,14
431.866,275
432.892,0
433.413,307
434.215,0
436.521,83
437.374,2
437.573,354
438.55,0
441.591,28
442.735,0
444.245,478
445.237,0
446.693,242
447.742,0
451.059,240
452.24,0
454.69,504
455.804,0
457.526,346
458.512,65
460.648,258
461.537,49
463.322,389
464.156,0
469.354,305
470.354,83
472.109,819
473.239,369
476.042,330
477.088,396
478.836,841
480.002,281
480.002,672
480.83,0
483.152,281
484.284,56
490.224,362
491.298,0
493.683,920
494.631,154
495.741,349
496.701,0
500.73,310
501.867,0
504.968,604
505.822,144
508.637,466
509.608,389
510.478,532
511.584,391
513.77,537
514.75,334
516.438,760
517.433,165
518.462,601
519.511,0
523.967,326
524.863,0
530.292,678
531.262,114
533.186,792
534.153,155
535.673,396
536.788,0
539.715,369
540.634,153
541.038,408
542.035,0
542.098,203
543.252,0
544.786,8
545.668,0
547.827,215
548.955,0
550.221,369
551.235,18
552.486,186
553.551,0
556.419,195
557.564,326
558.026,400
558.979,160
560.057,399
561.07,43
563.452,337
564.606,0
564.987,400
566.074,0
568.184,65
569.241,51
569.753,308
570.587,0
572.88,132
573.989,0
575.496,343
576.352,336
577.796,227
578.619,266
579.872,538
580.771,57
585.38,431
586.211,126
587.756,813
588.75,0
591.159,355
592.23,0
594.737,343
595.596,0
598.898,369
600.07,240
600.302,493
601.455,34
603.376,281
604.447,0
605.998,327
607.175,0
608.595,241
609.679,0
611.469,231
612.281,0
617.292,282
618.466,0
621.005,740
621.85,53
625.647,390
626.755,0
628.807,668
629.959,273
630.729,300
631.63,0
635.61,393
636.599,174
637.659,602
638.842,73
640.36,348
641.416,0
643.561,310
644.457,0
648.397,317
649.35,0
650.457,606
651.511,179
652.531,204
653.614,0
653.614,303
654.793,0
656.072,0
656.947,0
658.291,181
659.351,0
662.378,209
663.2,242
664.046,431
664.946,44
666.816,370
667.981,409
668.872,343
669.702,156
671.207,541
672.136,44
675.827,378
676.794,0
677.875,625
678.787,0
681.02,153
681.988,112
684.244,328
685.077,49
689.806,428
690.667,94
690.802,772
691.992,0
694.376,115
695.229,0
699.352,384
700.418,198
703.084,598
703.969,421
704.209,612
705.363,0
706.56,448
707.595,0
708.936,190
709.868,143
712.181,193
713.067,111
715.61,507
716.721,119
716.889,490
717.959,0
718.758,144
719.654,0
719.872,121
720.829,0
723.969,42
724.811,147
726.723,466
727.801,53
728.008,436
729.007,0
731.238,82
732.07,68
733.357,344
734.453,177
736.964,286
737.948,154
740.028,566
740.926,114
741.832,471
742.851,0
744.012,261
744.998,0
746.583,173
747.74,0
752.288,223
753.327,234
754.769,695
755.81,0
757.396,445
758.575,46
760.181,214
761.12,446
762.179,295
763.281,119
763.281,596
764.149,0
768.317,119
769.131,0
771.388,612
772.324,0
774.207,311
775.082,0
776.701,309
777.734,0
777.773,233
778.767,0
780.039,6
780.898,169
782.427,212
783.598,125
785.967,408
786.9,358
790.816,511
791.792,698
797.332,992
798.155,725
801.945,1516
802.908,704
806.379,1288
807.45,593
811.904,1182
812.724,885
814.739,1283
815.789,1149
816.488,1188
817.48,1248
823.679,1253
824.615,1231
827.546,2221
828.359,1249
831.11,1679
832.109,1473
832.248,1660
833.242,1225
835.319,1500
836.193,1115
836.366,1515
837.559,988
840.666,1134
841.716,1280
844.438,1469
845.633,1270
846.871,1677
847.698,1097
850.537,1460
851.389,1084
854.033,1518
855.01,1330
855.523,1473
856.644,1433
856.786,1401
857.83,952
858.166,1452
859.088,646
859.294,1006
860.112,312
861.472,677
862.568,328
863.539,507
864.442,306
865.777,488
866.807,140
867.854,509
868.673,124
871.341,308
872.488,0
873.958,521
874.908,0
876.794,206
877.982,0
880.11,272
881.219,0
884.893,328
885.935,0
888.717,531
889.903,30
891.571,394
892.437,0
893.709,303
894.681,0
896.414,167
897.58,0
898.835,279
899.929,8
900.786,196
901.899,0
903.219,128
904.186,0
906.957,224
908.103,0
911.331,414
912.377,0
913.182,475
914.229,0
915.308,128
916.31,0
917.181,138
918.34,0
918.353,116
919.304,0
922.413,2
923.352,0
923.729,489
924.576,0
926.421,63
927.528,0
932.582,279
933.392,57
937.442,754
938.586,12
940.403,683
941.38,0
942.439,250
943.25,0
945.686,144
946.773,120
947.163,360
948.056,0
948.419,194
949.323,0
949.345,46
950.527,0
952.597,6
953.65,0
955.516,306
956.347,105
960.456,294
961.42,124
964.318,697
965.291,158
965.918,519
966.868,0
967.74,257
968.547,0
974.537,120
975.627,0
978.193,824
979.29,0
979.53,366
980.465,0
982.229,36
983.035,0
985.674,281
986.698,0
986.716,404
987.694,0
989.648,4
990.819,210
992.541,284
993.512,123
994.135,469
995.241,0
996.173,210
997.296,0
998.935,139
999.851,121
1001.63,238
1002.43,98
1005.83,400
1006.92,214
1007.4,606
1008.31,9
1011.83,281
1012.73,16
1014.9,551
1015.94,0
1018.86,348
1019.96,33
1023.88,446
1024.92,359
1027.81,669
1028.7,353
1030.33,803
1031.37,299
1035.13,599
1036.08,295
1037.87,860
1038.7,178
1040.17,525
1041.09,443
1041.09,396
1041.91,186
1045.08,443
1046.26,426
1047.02,691
1048.14,15
1050.2,541
1051.19,0
1055.18,315
1056.06,0
1059.61,610
1060.8,192
1062.27,520
1063.25,0
1065.23,408
1066.15,196
1067.54,290
1068.51,0
1071.79,443
1072.62,0
1075.89,480
1077.08,0
1082.82,508
1083.82,0
1088.31,894
1089.16,23
1090.82,644
1091.65,0
1092.75,236
1093.63,0
1096.74,165
1097.58,0
1100.54,483
1101.35,12
1104.7,446
1105.63,319
1106.84,507
1107.84,55
1108.31,492
1109.31,0
1111.57,138
1112.38,168
1113.65,324
1114.62,333
1116.22,374
1117.09,489
1122.89,572
1123.7,491
1127.23,1338
1128.41,530
1129.06,1026
1130.18,533
1132.62,627
1133.72,580
1135.39,907
1136.54,548
1137.36,845
1138.52,318
1139.72,680
1140.78,99
1140.78,477
1141.73,0
1144.08,99
1145.11,0
1146.62,361
1147.69,0
1150.58,240
1151.59,71
1153.66,429
1154.53,177
1156.18,368
1157,137
1158.63,417
1159.71,77
1159.71,366
1160.66,0
1160.66,77
1161.64,0
1164.06,0
1164.88,15
1168.48,370
1169.58,26
1169.77,552
1170.79,0
1172.81,66
1173.96,0
1175.25,322
1176.36,0
1177.72,182
1178.65,0
1181.51,212
1182.4,0
1186.98,469
1188.04,0
1189.98,664
1191.05,0
1192.16,266
1193.06,0
1193.14,160
1194.08,0
1194.87,11
1195.81,0
1196.46,118
1197.5,0
1198.01,103
1198.93,0
1200.02,72
1201.02,0
1201.02,173
1201.86,0
1205.14,0
1205.97,0
1207.4,473
1208.48,388
1210.45,198
1211.51,388
1216.8,686
1217.67,402
1219.96,1152
1220.84,348
1221.57,748
1222.73,0
1226.54,451
1227.55,0
1228.77,589
1229.68,0
1233.02,191
1233.98,129
1234.92,474
1235.85,32
1237.25,268
1238.07,0
1239.11,234
1240.24,0
1240.56,151
1241.71,0
1243.6,41
1244.47,0
1246.84,304
1247.81,402
1251.36,342
1252.41,347
1256.53,904
1257.46,277
1260.72,966
1261.73,384
1264,823
1264.82,396
1266.68,757
1267.87,182
1268.43,679
1269.28,280
1270.14,264
1271.03,0
1274.9,407
1275.87,0
1276.29,591
1277.37,0
1280.98,54
1282.02,0
1287.19,596
1288.13,231
1290.51,795
1291.64,397
1293.54,563
1294.49,234
1297,680
1298.01,219
1299.73,610
1300.86,207
1303.98,476
1304.86,430
1306.12,694
1307.21,116
1307.91,631
1308.75,49
1310.65,209
1311.52,0
1313.13,333
1314.16,0
1314.87,236
1316.01,0
1320.37,89
1321.5,0
1323.38,667
1324.54,237
1328.98,303
1330.16,31
1330.2,878
1331.1,0
1332.42,33
1333.46,36
1334.45,191
1335.45,0
1337.12,183
1337.95,0
1339.66,225
1340.83,0
1343.03,247
1343.96,204
1344.83,344
1346,38
1347.2,330
1348.4,0
1349.18,210
1350.37,0
1353.44,129
1354.5,234
1356.22,458
1357.11,114
1358.86,525
1359.8,0
1364.07,369
1365.19,0
1365.81,603
1366.68,71
1368.16,98
1369.19,0
1372.33,307
1373.37,12
1373.7,454
1374.5,0
1375.02,56
1375.97,0
1378.04,87
1379.18,52
1381.61,307
1382.79,0
1386.25,454
1387.36,43
1388.42,538
1389.33,0
1392.27,202
1393.24,61
1394.41,455
1395.45,0
1396.46,234
1397.27,0
1398.4,179
1399.37,0
1403.39,161
1404.42,119
1405.49,631
1406.29,0
1410.81,279
1411.78,0
1412.8,682
1413.73,0
1414.65,169
1415.5,0
1416.59,137
1417.44,0
1419.48,145
1420.35,2
1426.04,275
1427.04,0
1428.92,876
1429.96,0
1431.67,274
1432.59,0
1433.83,240
1434.75,0
1436.06,198
1437.25,0
1438.24,204
1439.3,0
1441.48,128
1442.4,233
1444.45,334
1445.31,304
1449.13,507
1450.27,355
1451.89,860
1452.82,469
1454.67,593
1455.82,531
1455.82,703
1457,391
1458.5,531
1459.36,281
1461.71,640
1462.84,215
1464.96,646
1465.84,127
1470.5,511
1471.48,247
1472.17,817
1473.13,701
1475.15,349
1476.26,1045
1481.25,985
1482.14,1164
1484.81,1826
1485.91,1244
1488.17,1550
1489.22,1276
1492.22,1558
1493.07,1309
1495.11,1758
1496.23,1613
1499.05,1622
1499.99,1737
1501.54,2052
1502.36,1699
1505.43,1949
1506.26,1812
1506.84,2164
1507.76,1430
1508.93,1897
1509.87,1344
1511.64,1596
1512.7,1132
1514.19,1607
1515.04,1206
1517.12,1362
1518.18,1171
1520.57,1562
1521.7,1108
1522.11,1514
1523.27,1076
1526.87,1166
1527.78,1005
1528.96,1605
1529.86,725
1531.83,1182
1532.82,606
1536.51,1024
1537.71,669
1539.47,1136
1540.44,545
1543.67,939
1544.7,696
1545.87,1015
1547.04,675
1550.28,855
1551.2,699
1552.29,1168
1553.47,507
1553.94,862
1555.07,84
1557.54,578
1558.58,298
1558.94,478
1559.85,0
1561.13,345
1562.3,0
1565.06,190
1565.93,0
1569.76,411
1570.79,12
1571.34,557
1572.19,0
1573.94,95
1574.76,0
1577.98,249
1579.15,0
1580.6,483
1581.57,0
1584.81,214
1585.8,244
1587.09,475
1588.17,90
1588.51,433
1589.62,11
1591.97,146
1592.99,0
1595.38,373
1596.2,178
1599.25,377
1600.14,139
1602.27,587
1603.22,235
1605.98,447
1606.94,331
1608.43,679
1609.33,513
1611.49,541
1612.61,398
1614.81,848
1615.91,271
1618.2,725
1619.06,309
1622.3,581
1623.2,387
1624.61,807
1625.53,447
1628.64,593
1629.69,291
1631.13,909
1631.93,157
1632.32,499
1633.47,0
1636.92,212
1637.88,78
1639.99,502
1640.97,0
1643.22,400
1644.02,0
1645.36,332
1646.45,0
1649.96,212
1651.12,19
1652.86,560
1653.85,0
1654.56,304
1655.73,14
1656.22,111
1657.31,0
1658.25,91
1659.42,0
1660.18,133
1661.01,0
1664.42,132
1665.36,0
1666.21,507
1667.17,0
1670.87,135
1671.72,5
1672.1,539
1673.21,0
1675.5,66
1676.5,0
1678.4,354
1679.49,462
1682.67,309
1683.5,469
1684.3,947
1685.16,325
1690.25,583
1691.08,618
1691.29,1089
1692.42,502
1694.82,659
1695.99,342
1697.48,866
1698.37,409
1699,571
1699.85,90
1700.69,497
1701.61,0
1707.12,208
1707.95,116
1712.58,852
1713.59,126
1718.32,797
1719.22,266
1720.96,808
1722.13,56
1727.88,537
1728.89,0
1734.69,892
1735.7,135
1737.61,856
1738.42,0
1741.12,397
1742.24,13
1743.49,406
1744.56,0
1745.25,204
1746.14,0
1747.3,99
1748.4,0
1750.84,154
1751.96,402
1752.8,384
1753.68,141
1755.19,523
1756.21,0
1760.1,377
1761.09,0
1763.89,595
1764.99,385
1767.39,459
1768.34,307
1770.93,730
1771.94,380
1774.01,699
1775.08,204
1779.17,652
1780.02,197
1782.56,822
1783.67,175
1786.31,577
1787.24,351
1790.63,569
